Co, Ra, Ta, Nu, Re, Ro
0.957, 5.15e2, 4.64e3, 1.231, 4.225, 0.0736
0.957, 9.16e2, 1e4, 1.444, 7.054, 0.0944
0.957, 1.63e3, 2.15e4, 1.631, 10.455, 0.1021
0.957, 2.89e3, 4.64e4, 1.914, 14.787, 0.1122
0.957, 5.15e3, 1e5, 2.229, 20.512, 0.119
0.957, 9.16e3, 2.15e5, 2.604, 27.624, 0.1241
0.957, 1.63e4, 4.64e5, 3.071, 36.608, 0.1284
0.957, 2.91e4, 1e6, 3.592, 49.488, 0.1317
0.957, 5.15e4, 2.15e6, 4.170, 62.091, 0.1311
0.957, 9.16e4, 4.64e6, 4.910, 82.395, 0.1329
0.957, 1.63e5, 1e7, 5.624, 106.05, 0.1299
0.957, 2.89e5, 2.15e7, 7.07, 143.88, 0.1353
0.957, 5.15e5, 4.64e7, 7.485, 183.55, 0.1302
0.957, 9.16e5, 1e8, 9.362, 238.232, 0.1311
1.58, 7.89e1, 1e2, 1.651, 4.427, 0.3025
1.58, 1.40e2, 2.15e2, 1.988, 6.598, 0.3487
1.58, 2.49e2, 4.64e2, 2.395, 9.407, 0.386
1.58, 4.44e2, 1e3, 2.893, 13.046, 0.4151
1.58, 7.89e2, 2.15e3, 3.436, 17.797, 0.4334
1.58, 1.40e3, 4.64e3, 4.156, 23.151, 0.4499
1.58, 2.49e3, 1e4, 4.874, 30.249, 0.4549
1.58, 4.44e3, 2.15e4, 5.679, 38.699, 0.4587 
1.58, 7.89e3, 4.64e4, 6.619, 50.528, 0.4571
1.58, 1.40e4, 1e5, 7.609, 63.791, 0.4534
1.58, 2.49e4, 2.15e5, 8.69, 80.957, 0.4478
1.58, 4.44e4, 4.64e5, 10.021, 102.231, 0.4397
1.58, 7.89e4, 1e6, 11.617, 134.584, 0.4406
1.58, 1.40e5, 2.15e6, 12.756, 169.359, 0.4205
1.58, 2.49e5, 4.64e6, 15.082, 223.856, 0.4201
1.58, 4.44e5, 1e7, 16.983, 292.436, 0.4106
1.58, 7.89e5, 2.15e7, 18.374, 348.782, 0.3937
1.58, 1.40e6, 4.64e7, 20.822, 460.722, 0.3855
1.58, 2.49e6, 1e8, 26.434, 629.335, 0.3978
