Ra      , Ta      , nz      , nx      , ny      , S       , Ro_p    , Ro_c    , Ro      , Re      , Nu
2.66E+05, 2.66E+07, 1.28E+02, 2.56E+02, 2.56E+02, 2.15E+00, 8.47E-01, 1.00E-01, 9.56E-02, 1.12E+02, 5.16E+00
2.59E+06, 2.59E+08, 2.56E+02, 5.12E+02, 5.12E+02, 4.64E+00, 1.13E+00, 1.00E-01, 2.70E-01, 5.65E+02, 3.33E+01
8.38E+05, 8.38E+07, 2.56E+02, 2.56E+02, 2.56E+02, 3.16E+00, 9.78E-01, 1.00E-01, 1.41E-01, 2.43E+02, 9.50E+00
8.55E+04, 8.55E+06, 1.28E+02, 1.28E+02, 1.28E+02, 1.47E+00, 7.35E-01, 1.00E-01, 5.13E-02, 4.02E+01, 2.16E+00
4.18E+03, 4.64E+04, 6.40E+01, 1.28E+02, 1.28E+02, 2.15E+00, 1.15E+00, 3.00E-01, 2.15E-01, 2.68E+01, 3.31E+00
3.64E+04, 4.04E+05, 6.40E+01, 1.28E+02, 1.28E+02, 4.64E+00, 1.51E+00, 3.00E-01, 4.05E-01, 9.16E+01, 9.09E+00
1.05E+06, 1.17E+07, 1.92E+02, 3.84E+02, 3.84E+02, 1.47E+01, 2.29E+00, 3.00E-01, 8.08E-01, 5.30E+02, 2.73E+01
1.44E+03, 1.60E+04, 6.40E+01, 1.28E+02, 1.28E+02, 1.47E+00, 1.01E+00, 3.00E-01, 1.24E-01, 1.13E+01, 1.79E+00
1.22E+04, 1.35E+05, 6.40E+01, 1.28E+02, 1.28E+02, 3.16E+00, 1.31E+00, 3.00E-01, 3.08E-01, 5.10E+01, 5.78E+00
3.42E+05, 3.80E+06, 1.92E+02, 3.84E+02, 3.84E+02, 1.00E+01, 1.99E+00, 3.00E-01, 6.14E-01, 2.78E+02, 1.81E+01
1.16E+02, 1.16E+02, 6.40E+01, 1.28E+02, 1.28E+02, 2.15E+00, 1.81E+00, 1.00E+00, 4.63E-01, 6.90E+00, 2.15E+00
6.40E+02, 6.40E+02, 6.40E+01, 1.28E+02, 1.28E+02, 4.64E+00, 2.24E+00, 1.00E+00, 8.17E-01, 2.00E+01, 4.32E+00
4.39E+03, 4.39E+03, 6.40E+01, 1.28E+02, 1.28E+02, 1.00E+01, 2.85E+00, 1.00E+00, 1.21E+00, 5.28E+01, 7.98E+00
1.20E+04, 1.20E+04, 6.40E+01, 1.28E+02, 1.28E+02, 1.47E+01, 3.24E+00, 1.00E+00, 1.45E+00, 8.58E+01, 1.07E+01
3.41E+04, 3.41E+04, 9.60E+01, 1.92E+02, 1.92E+02, 2.15E+01, 3.69E+00, 1.00E+00, 1.72E+00, 1.40E+02, 1.43E+01
1.01E+05, 1.01E+05, 9.60E+01, 1.92E+02, 1.92E+02, 3.16E+01, 4.22E+00, 1.00E+00, 2.01E+00, 2.30E+02, 2.02E+01
2.96E+05, 2.96E+05, 1.28E+02, 2.56E+02, 2.56E+02, 4.64E+01, 4.83E+00, 1.00E+00, 2.41E+00, 3.73E+02, 2.58E+01
9.24E+05, 9.24E+05, 1.92E+02, 3.84E+02, 3.84E+02, 6.81E+01, 5.57E+00, 1.00E+00, 2.54E+00, 5.87E+02, 2.77E+01
2.77E+06, 2.77E+06, 2.56E+02, 5.12E+02, 5.12E+02, 1.00E+02, 6.39E+00, 1.00E+00, 3.36E+00, 1.10E+03, 4.66E+01
5.48E+01, 5.48E+01, 6.40E+01, 1.28E+02, 1.28E+02, 1.47E+00, 1.65E+00, 1.00E+00, 3.03E-01, 3.63E+00, 1.54E+00
5.15E+02, 4.64E+03, 6.40E+01, 6.40E+01, 6.40E+01, 1.13E+00, 9.57E-01, 3.33E-01, 7.36E-02, 4.23E+00, 1.23E+00
9.16E+02, 1.00E+04, 6.40E+01, 6.40E+01, 6.40E+01, 1.24E+00, 9.57E-01, 3.03E-01, 9.44E-02, 7.05E+00, 1.44E+00
1.63E+03, 2.15E+04, 6.40E+01, 6.40E+01, 6.40E+01, 1.36E+00, 9.57E-01, 2.75E-01, 1.02E-01, 1.05E+01, 1.63E+00
2.89E+03, 4.64E+04, 6.40E+01, 6.40E+01, 6.40E+01, 1.48E+00, 9.57E-01, 2.50E-01, 1.12E-01, 1.48E+01, 1.91E+00
5.15E+03, 1.00E+05, 1.28E+02, 1.28E+02, 1.28E+02, 1.61E+00, 9.57E-01, 2.27E-01, 1.19E-01, 2.05E+01, 2.23E+00
9.16E+03, 2.15E+05, 1.28E+02, 1.28E+02, 1.28E+02, 1.74E+00, 9.57E-01, 2.06E-01, 1.24E-01, 2.76E+01, 2.60E+00
1.63E+04, 4.64E+05, 1.28E+02, 1.28E+02, 1.28E+02, 1.88E+00, 9.57E-01, 1.87E-01, 1.28E-01, 3.66E+01, 3.07E+00
2.91E+04, 1.00E+06, 1.28E+02, 1.28E+02, 1.28E+02, 2.03E+00, 9.57E-01, 1.71E-01, 1.32E-01, 4.95E+01, 3.59E+00
5.15E+04, 2.15E+06, 1.28E+02, 1.28E+02, 1.28E+02, 2.17E+00, 9.57E-01, 1.55E-01, 1.31E-01, 6.21E+01, 4.17E+00
9.16E+04, 4.64E+06, 1.28E+02, 1.28E+02, 1.28E+02, 2.33E+00, 9.57E-01, 1.41E-01, 1.33E-01, 8.24E+01, 4.91E+00
1.63E+05, 1.00E+07, 1.28E+02, 1.28E+02, 1.28E+02, 2.50E+00, 9.57E-01, 1.28E-01, 1.30E-01, 1.06E+02, 5.62E+00
2.89E+05, 2.15E+07, 2.56E+02, 2.56E+02, 2.56E+02, 2.67E+00, 9.57E-01, 1.16E-01, 1.35E-01, 1.44E+02, 7.07E+00
5.15E+05, 4.64E+07, 2.56E+02, 2.56E+02, 2.56E+02, 2.85E+00, 9.57E-01, 1.05E-01, 1.30E-01, 1.84E+02, 7.49E+00
9.16E+05, 1.00E+08, 2.56E+02, 2.56E+02, 2.56E+02, 3.05E+00, 9.57E-01, 9.57E-02, 1.31E-01, 2.38E+02, 9.36E+00
7.89E+01, 1.00E+02, 6.40E+01, 6.40E+01, 6.40E+01, 1.56E+00, 1.58E+00, 8.88E-01, 3.03E-01, 4.43E+00, 1.65E+00
1.40E+02, 2.15E+02, 6.40E+01, 6.40E+01, 6.40E+01, 1.86E+00, 1.58E+00, 8.07E-01, 3.49E-01, 6.60E+00, 1.99E+00
